doctor_id,name,gender,specialization,hospital_id,city
D1000,Richard Duncan,M,Pediatrician,H001,New York
D1001,Paul Rodgers,M,Cardiologist,H002,New York
D1002,Joyce Miller,F,Orthopedic,H002,New York
D1003,Kathleen Harris,F,General Physician,H001,Boston
D1004,Richard Morris,M,Oncologist,H002,New York
D1005,Joshua Gallagher,M,Oncologist,H001,Boston
D1006,Jaime Pearson,M,Neurologist,H001,New York
D1007,Kyle Jones,M,Oncologist,H001,New York
D1008,Amy Lambert,F,General Physician,H001,New York
D1009,Patrick Carson,M,Neurologist,H002,New York
D1010,Joseph Sanchez,M,Orthopedic,H002,New York
D1011,Jessica Huff DDS,F,Oncologist,H002,New York
D1012,Ryan Andrews,M,Oncologist,H001,New York
D1013,Michelle King,F,Oncologist,H001,New York
D1014,David Sanders,M,Neurologist,H001,Boston
D1015,Billy Crane,M,Oncologist,H002,New York
D1016,Alexander Morris,M,Orthopedic,H002,Boston
D1017,Diana Dean,F,Oncologist,H001,Boston
D1018,Deborah Simpson DVM,F,Neurologist,H001,New York
D1019,Allen Jackson,M,General Physician,H001,New York
D1020,Catherine Beasley,F,Neurologist,H001,New York
D1021,Brenda Hensley,F,Pediatrician,H002,Boston
D1022,Mr. Adam Gomez,M,Oncologist,H002,New York
D1023,Danielle Hudson,F,Cardiologist,H002,New York
D1024,Robert Burton,M,Pediatrician,H001,Boston
D1025,Erika Odonnell,F,Pediatrician,H002,Boston
D1026,Brent Aguirre,M,Orthopedic,H001,Boston
D1027,Ariana Kennedy,F,Neurologist,H001,New York
D1028,Michael Rodriguez,M,Oncologist,H001,Boston
D1029,Christina Spencer,F,Orthopedic,H001,New York
D1030,Lisa Hill,F,Neurologist,H002,New York
D1031,David Gibson,M,Oncologist,H001,New York
D1032,Brian Walsh,M,Pediatrician,H002,Boston
D1033,Kathleen Eaton,F,Oncologist,H002,Boston
D1034,Cole Fisher,M,Neurologist,H001,New York
D1035,Veronica Fisher,F,Oncologist,H002,New York
D1036,Daniel Gonzalez,M,Pediatrician,H001,New York
D1037,John Jackson,M,Orthopedic,H002,Boston
D1038,Linda Giles,F,Orthopedic,H002,Boston
D1039,Paul Brady,M,Oncologist,H002,New York
D1040,John Freeman,M,Neurologist,H001,New York
D1041,Joshua Griffin,M,Orthopedic,H002,New York
D1042,Anna Lambert,F,Orthopedic,H002,New York
D1043,Patrick Cameron,M,Pediatrician,H001,New York
D1044,Kyle Kirby,M,Orthopedic,H001,Boston
D1045,Kylie Bell,F,Neurologist,H002,New York
D1046,Brian James,M,Pediatrician,H002,New York
D1047,Stephanie Hill,F,General Physician,H001,New York
D1048,Barbara Guerrero,F,Oncologist,H001,Boston
D1049,Juan Johns,M,Neurologist,H001,New York
D1050,Michael Moran,M,Neurologist,H001,New York
D1051,David Velasquez,M,Orthopedic,H002,Boston
D1052,Sheila Adams,F,General Physician,H002,Boston
D1053,Anthony Brown,M,General Physician,H001,Boston
D1054,Kimberly Anderson,F,Cardiologist,H001,Boston
D1055,Jerry Potts,M,Orthopedic,H001,New York
D1056,Lisa Watson,F,Pediatrician,H002,New York
D1057,Carmen Allison,F,Oncologist,H002,New York
D1058,Melissa Jensen,F,Orthopedic,H001,Boston
D1059,Thomas Hammond,M,Oncologist,H002,New York
D1060,Vickie Shaw,F,Orthopedic,H002,Boston
D1061,Abigail Carlson,F,Oncologist,H001,Boston
D1062,James Keller,M,Orthopedic,H002,New York
D1063,Christina Todd,F,Cardiologist,H001,New York
D1064,Michael Roy,M,General Physician,H002,Boston
D1065,Nicole Mcdaniel,F,Neurologist,H002,New York
D1066,Tyler Bowman,M,Cardiologist,H001,Boston
D1067,Mr. Jimmy Weaver,M,Neurologist,H001,New York
D1068,Charles Romero,M,Pediatrician,H001,New York
D1069,Ronald Griffith,M,Neurologist,H001,Boston
D1070,Mary Durham,F,General Physician,H002,Boston
D1071,Mrs. Sydney Lopez,F,Cardiologist,H002,Boston
D1072,Taylor Bass,M,Orthopedic,H001,New York
D1073,Nancy Hanson,F,Neurologist,H002,Boston
D1074,Robert Davis,M,Oncologist,H001,Boston
D1075,Elaine Guzman,F,Orthopedic,H002,New York
D1076,David Hansen,M,Pediatrician,H001,New York
D1077,Katie Kim,F,Orthopedic,H001,New York
D1078,Karen Hill,F,Pediatrician,H002,Boston
D1079,Garrett Newman MD,M,General Physician,H001,Boston
D1080,Casey Casey,M,Oncologist,H002,Boston
D1081,Dr. Nancy Torres,F,Neurologist,H001,Boston
D1082,Morgan Malone,F,Cardiologist,H001,Boston
D1083,Eric Walker,M,Oncologist,H001,New York
D1084,Megan Perez,F,Pediatrician,H002,Boston
D1085,Robert Campbell,M,General Physician,H002,New York
D1086,Lisa Grant,F,Pediatrician,H001,Boston
D1087,Carl Cannon,M,Pediatrician,H001,Boston
D1088,Tracey Brown,F,Cardiologist,H001,Boston
D1089,Casey Peterson,F,Neurologist,H001,Boston
D1090,Erica Turner,F,Pediatrician,H002,Boston
D1091,Michael Patel,M,General Physician,H001,Boston
D1092,Jessica Cox,F,Orthopedic,H002,Boston
D1093,Rachel Gonzales,F,Orthopedic,H002,New York
D1094,George Edwards,M,Cardiologist,H002,Boston
D1095,Jesse Miller,M,General Physician,H002,New York
D1096,Kevin Smith,M,Neurologist,H001,Boston
D1097,Maurice Martin,M,Neurologist,H001,New York
D1098,Ethan Reed,M,Pediatrician,H001,Boston
D1099,Jeremy Cordova,M,Pediatrician,H001,Boston
D1100,Renee Martinez,F,Cardiologist,H002,Boston
D1101,Jennifer Jones,F,Orthopedic,H001,New York
D1102,Allen Williams,M,Pediatrician,H001,New York
D1103,Yvonne Johnston,F,Orthopedic,H001,Boston
D1104,Rachel Werner,F,General Physician,H002,Boston
D1105,Michelle Harris,F,General Physician,H001,New York
D1106,Gabriel Wall,M,General Physician,H001,New York
D1107,Joan Young MD,F,Neurologist,H002,New York
D1108,Scott Woods,M,Pediatrician,H001,New York
D1109,Regina Lawrence,F,Oncologist,H001,Boston
D1110,Stephen Rivera,M,Pediatrician,H002,New York
D1111,Patricia Foster,F,Cardiologist,H002,New York
D1112,Darryl Maldonado,M,Neurologist,H001,New York
D1113,Debra Sims,F,Cardiologist,H002,New York
D1114,Suzanne Kelley,F,Orthopedic,H002,New York
D1115,Heather Rowe,F,Oncologist,H001,New York
D1116,Meredith Myers,F,Oncologist,H002,New York
D1117,Mr. Wyatt Miller,M,Neurologist,H001,Boston
D1118,Phyllis Anderson,F,Orthopedic,H002,New York
D1119,Tyler Haynes,M,Oncologist,H002,New York
D1120,Alexander Perez,M,Neurologist,H001,Boston
